x,真实值,pred1,pred2,失效阈值
143,1.334006676,1.356862068,1.33887887,1.4
144,1.328644431,1.353708029,1.335687041,1.4
145,1.323170899,1.350589275,1.33231926,1.4
146,1.318169159,1.347530365,1.328956366,1.4
147,1.318466444,1.344470143,1.324878216,1.4
148,1.31829304,1.341440439,1.320950866,1.4
149,1.323872422,1.338425159,1.317629099,1.4
150,1.360121677,1.335466504,1.314966917,1.4
151,1.339530687,1.332509995,1.314028382,1.4
152,1.329028657,1.329514861,1.321591377,1.4
153,1.323674127,1.326518774,1.322096586,1.4
154,1.318633897,1.323569179,1.319593906,1.4
155,1.313475132,1.320612669,1.31760788,1.4
156,1.313202063,1.317691922,1.314812303,1.4
157,1.307795995,1.314777255,1.311235547,1.4
158,1.303032919,1.311897755,1.308577776,1.4
159,1.303357356,1.309037209,1.305409312,1.4
160,1.303410044,1.306191444,1.302090764,1.4
161,1.297887081,1.303425431,1.299622655,1.4
162,1.298073506,1.300691128,1.297345638,1.4
163,1.293463614,1.29793787,1.295598388,1.4
164,1.288003393,1.295212269,1.293615937,1.4
165,1.287452522,1.292482853,1.291411519,1.4
166,1.309015364,1.289832234,1.288194537,1.4
167,1.325079329,1.287178636,1.285454988,1.4
